Target_Audience,Campaign_Goal,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Company,Month,Budget_Planned,Variance,Cost_Per_Click
Men 45-60,Product Launch,15 Days,Twitter,0.04,500.0,6.79,1150,4926,1,Home,2022-07-18,Nest Neat,Jul,550.0,50.0,0.43
Women 25-34,Brand Awareness,15 Days,Twitter,0.1,2977.3,2.08,7317,23192,9,Home,2022-01-17,Furnish Fine,Jan,3275.0300000000007,297.7300000000005,0.41
Men 35-44,Increase Sales,30 Days,Twitter,0.13,6064.53,4.49,15675,47948,8,Home,2022-08-03,Decor Dreams,Aug,6670.983,606.4530000000004,0.39
Women 35-44,Market Expansion,60 Days,Facebook,0.15,15000.0,4.19,39910,119735,4,Technology,2022-07-26,Innovate Infinity,Jul,16500.0,1500.0,0.38
Women 45-60,Market Expansion,45 Days,Twitter,0.15,8899.65,5.09,23353,70692,6,Home,2022-11-05,Decor Dreams,Nov,9789.615,889.9650000000001,0.38
Men 45-60,Increase Sales,15 Days,Pinterest,0.11,1857.02,0.2770582586886559,2679,9707,1,Home,2022-05-03,Homely Haven,May,2042.7220000000002,185.70200000000023,0.69
All Ages,Product Launch,60 Days,Facebook,0.02,12347.82,6.09,32688,98344,1,Food,2022-07-19,Gourmet Grove,Jul,13582.602,1234.782000000001,0.38
All Ages,Increase Sales,30 Days,Pinterest,0.03,6681.21,1.2851928257880236,10176,34115,1,Home,2022-07-24,Hearth Harmony,Jul,7349.331000000001,668.121000000001,0.66
Men 18-24,Product Launch,15 Days,Instagram,0.11,3956.43,2.19,9921,30907,4,Technology,2022-11-08,Innovate Infinity,Nov,4352.073,395.6430000000005,0.4
Men 35-44,Increase Sales,45 Days,Instagram,0.05,11047.8,3.18,29204,88024,5,Fashion,2022-07-28,Runway Rebels,Jul,12152.58,1104.7800000000007,0.38
Women 45-60,Brand Awareness,30 Days,Twitter,0.05,7673.11,0.31,20014,60801,10,Health,2022-01-19,Fitness Front,Jan,8440.421,767.3110000000006,0.38
Women 45-60,Market Expansion,45 Days,Facebook,0.02,8032.81,5.73,21005,63736,3,Home,2022-05-09,Nest Neat,May,8836.091,803.281,0.38
Men 35-44,Market Expansion,30 Days,Twitter,0.06,5363.07,1.9,13758,42272,7,Home,2022-07-30,Furnish Fine,Jul,5899.377,536.3070000000007,0.39
Men 25-34,Brand Awareness,60 Days,Instagram,0.08,12193.26,2.86,32284,97147,1,Technology,2022-10-13,Cyber Circuit,Oct,13412.586000000001,1219.326000000001,0.38
Men 35-44,Brand Awareness,45 Days,Instagram,0.02,9949.93,3.11,26210,79156,10,Health,2022-11-05,Aura Align,Nov,10944.923,994.9930000000004,0.38
Women 35-44,Product Launch,60 Days,Instagram,0.04,12061.15,0.03,31924,96078,2,Fashion,2022-02-15,Trend Tailors,Feb,13267.265000000001,1206.1150000000016,0.38
Women 45-60,Market Expansion,60 Days,Facebook,0.05,13305.5,0.46,35122,105553,6,Home,2022-02-08,Domestic Dream,Feb,14636.050000000001,1330.550000000001,0.38
Men 25-34,Product Launch,45 Days,Instagram,0.08,10519.22,2.48,27765,83762,2,Fashion,2022-12-28,Silk & Style,Dec,11571.142,1051.9220000000005,0.38
Men 18-24,Product Launch,60 Days,Pinterest,0.06,15000.0,0.6184655322985482,23407,77198,1,Technology,2022-02-07,Tech Titans,Feb,16500.0,1500.0,0.64
All Ages,Market Expansion,45 Days,Pinterest,0.15,11188.5,0.003574945273402,17379,57571,1,Technology,2022-09-21,Cyber Circuit,Sep,12307.35,1118.8500000000004,0.64
Women 25-34,Increase Sales,15 Days,Facebook,0.05,4101.84,6.51,10319,32086,4,Home,2022-11-10,Furnish Fine,Nov,4512.024,410.1840000000002,0.4
Men 18-24,Brand Awareness,60 Days,Instagram,0.02,12805.48,7.18,33887,101895,6,Health,2022-02-04,Well Wish,Feb,14086.028,1280.5480000000007,0.38
Women 18-24,Increase Sales,15 Days,Twitter,0.07,2763.95,4.22,6769,21571,2,Health,2022-06-14,Wellness Waves,Jun,3040.3450000000003,276.39500000000044,0.41
